zipcode,price,sqft_living,bedrooms,
98178,221900,1180,3,
98125,538000,2570,3,
98028,180000,770,2,
98136,604000,1960,4,
98074,510000,1680,3,
98053,1230000,5420,4,
98003,257500,1715,3,
98198,291850,1060,3,
98146,229500,1780,3,
98038,323000,1890,3,
98007,662500,3560,3,
98115,468000,1160,2,
98028,310000,1430,3,
98074,400000,1370,3,
98107,530000,1810,5,
98126,650000,2950,4,
98019,395000,1890,3,
98103,485000,1600,4,
98002,189000,1200,2,
98003,230000,1250,3,
98133,385000,1620,4,
98040,2000000,3050,3,
98092,285000,2270,5,
98030,252700,1070,2,
98030,329000,2450,3,
98002,233000,1710,3,
98119,937000,2450,3,
98112,667000,1400,3,
98115,438000,1520,3,
98052,719000,2570,4,
98027,580500,2320,3,
98133,280000,1190,2,
98117,687500,2330,4,
98117,535000,1090,3,
98058,322500,2060,4,
98115,696000,2300,3,
98052,550000,1660,4,
98107,640000,2360,4,
98001,240000,1220,4,
98056,605000,2620,4,
98074,625000,2570,4,
98166,775000,4220,4,
98053,861990,3595,5,
98119,685000,1570,3,
98058,309000,1280,3,
98019,488000,3160,3,
98023,210490,990,3,
98007,785000,2290,4,
98115,450000,1250,3,
98070,1350000,2753,3,
98148,228000,1190,3,
98056,345000,3150,5,
98117,600000,1410,3,
98117,585000,1980,2,
98105,920000,2730,5,
98105,885000,2830,4,
98042,292500,2250,4,
98042,301000,2420,3,
98008,951000,3250,5,
98059,430000,1850,4,
98166,650000,2150,3,
98148,289000,1260,3,
98166,505000,2519,3,
98115,549000,1540,3,
98122,425000,1660,3,
98144,317625,2770,3,
98004,975000,2720,4,
98001,287000,2240,4,
98042,204000,1000,3,
98004,1330000,3200,5,
98005,1040000,4770,5,
98034,325000,1260,3,
98125,571000,2750,4,
98038,360000,2380,4,
98042,349000,1790,3,
98075,832500,3430,4,
98008,380000,1760,4,
98116,480000,1040,3,
98133,410000,1410,3,
98010,720000,3450,4,
98038,390000,2350,3,
98038,360000,1900,4,
98118,355000,2020,2,
98059,356000,1680,3,
98125,315000,960,3,
98119,940000,2140,3,
98092,305000,2660,5,
98056,461000,2770,3,
98056,215000,1610,2,
98136,335000,1030,2,
98023,243500,1980,4,
98199,1100000,3520,5,
98023,153000,1200,3,
98117,430000,1580,3,
98117,700000,1580,3,
98040,905000,3300,4,
98032,247500,1960,3,
98023,199000,1160,4,
98038,314000,1810,3,
98045,437500,2320,3,
98102,850830,2070,3,
98117,555000,1980,3,
98077,699950,2190,3,
98004,1090000,2920,3,
98058,290000,1210,3,
98058,375000,2340,3,
98117,460000,1670,3,
98198,188500,1240,2,
98077,680000,3140,4,
98052,470000,2030,5,
98027,597750,2310,4,
98103,570000,1260,3,
98038,272500,1540,3,
98108,329950,2080,3,
98001,480000,3230,4,
98117,740500,4380,3,
98103,518500,1590,3,
98178,205425,880,2,
98168,171800,1570,4,
98144,535000,1610,4,
98177,660000,2400,3,
98034,391500,1450,3,
98117,395000,770,2,
98118,445000,2100,4,
98052,770000,2910,3,
98004,1450000,2750,4,
98178,445000,2100,3,
98023,260000,2160,4,
98103,822500,2320,5,
98065,430000,2070,4,
98092,212000,1060,3,
98027,660500,2010,4,
98052,784000,3950,3,
98029,453246,2010,3,
98107,675000,2140,4,
98003,199000,1320,3,
98003,220000,2020,4,
98028,452000,2590,4,
98125,382500,1190,2,
98107,519950,1170,3,
98119,665000,1110,2,
98006,527700,2820,5,
98058,205000,1610,3,
98133,420000,1060,3,
98006,500000,2030,4,
98077,921500,3670,4,
98109,890000,2550,4,
98027,430000,2420,2,
98032,258000,2260,5,
98103,511000,1430,3,
98103,532170,1360,3,
98107,560000,1110,3,
98003,282950,1250,3,
98006,2250000,5180,4,
98115,350000,700,1,
98058,215000,1180,3,
98056,650000,3960,5,
98023,320000,2640,4,
98022,247000,1270,3,
98059,320000,1760,4,
98146,255000,2060,5,
98034,438000,1780,3,
98075,900000,3400,3,
98034,441000,1910,3,
98027,420000,2020,3,
98034,370000,1580,3,
98198,269950,1340,2,
98006,807100,2680,4,
98034,653000,2680,3,
98133,371500,1370,3,
98166,284000,1560,3,
98023,272000,2160,3,
98133,313000,1340,3,
98033,917500,3880,4,
98006,673000,2590,4,
98122,425000,1120,3,
98144,399950,1970,5,
98122,385000,1220,3,
98022,269950,1950,3,
98177,330000,1350,2,
98030,260000,1670,3,
98126,470000,2380,4,
98034,589000,2440,4,
98038,163500,1050,2,
98052,835000,3130,4,
98033,1100000,4090,5,
98023,269000,1490,4,
98074,560000,1900,3,
98103,615000,1330,4,
98052,585188,2230,3,
98034,305000,1650,3,
98058,166950,1190,3,
98040,799000,2140,3,
98133,400000,2180,3,
98155,230000,1060,3,
98023,256883,1690,3,
98108,423000,1970,4,
98126,465000,2150,3,
98024,440000,1910,3,
98038,385000,1350,3,
98056,210000,860,3,
98042,297000,1940,3,
98107,470000,1010,3,
98023,226500,1300,3,
98059,274250,910,3,
98040,840000,2480,4,
98052,677900,2440,3,
98116,425000,1010,3,
98166,180250,900,2,
98133,464000,2300,6,
98038,320000,1550,4,
98105,625504,1270,3,
98074,592500,2240,4,
98001,465000,2714,3,
98118,477000,1720,4,
98168,280000,850,2,
98040,1510000,3300,5,
98146,445838,2250,3,
98144,1070000,3900,2,
98177,467000,1320,2,
98075,686000,2760,4,
98198,279950,1750,3,
98011,527000,2330,4,
98030,325000,2220,3,
98038,328000,2020,3,
98146,390000,1250,3,
98053,479950,1510,2,
98023,264950,1720,4,
98031,235000,1430,3,
98053,516500,1480,3,
98166,655000,1450,2,
98059,500000,2280,4,
98023,315000,2940,6,
98024,213000,1000,2,
98108,475000,2480,3,
98033,1030000,3760,5,
98010,416000,2220,3,
98122,410000,1970,4,
98077,800000,3830,3,
98003,472000,4410,6,
98003,225000,1430,3,
98126,210000,830,2,
98115,455000,1430,2,
98002,225000,1300,3,
98103,480000,1030,2,
98023,363000,2740,3,
98074,2400000,3650,4,
98106,181000,720,2,
98002,250000,2010,4,
98103,481000,1560,3,
98032,260000,1810,3,
98058,455000,3360,4,
98045,415000,1510,3,
98118,349500,1400,3,
98030,245000,1730,3,
98115,592500,1420,2,
98106,385000,2360,4,
98059,315000,1580,3,
98045,255000,1230,3,
98052,693000,2460,4,
98112,780000,1660,3,
98198,237000,1270,3,
98074,525000,2100,3,
98144,425000,770,2,
98070,369900,760,1,
98031,290000,1700,4,
98106,285000,1120,3,
98115,415000,1070,2,
98023,272500,2070,3,
98004,2900000,5050,4,
98077,1370000,5310,4,
98133,436000,1040,2,
98003,210000,1700,3,
98178,236000,1300,3,
98199,331000,1080,3,
98031,365000,2653,3,
98058,450000,2290,3,
